,DIM_1,DIM_2
Control,-17.01141287481513,52.63509083992739
BLA_1,50.338043475322976,3.9347766949139844
BLA_2,59.0219604700257,-6.025091866508043
BLA_3,60.393038976065434,-13.745574781958641
GAN_1,-49.86567149456076,-6.488562351453795
GAN_2,-52.03562325399266,-15.49293973954385
GAN_3,-50.840335298045616,-14.817698795377018
